Insert,Topic,Time,Field1,Field2,isValid,Error
Queue Insert, pisid_mazemov, {Hora:"2023-05-01 21:14:53.936803", SalaEntrada:3, SalaSaida:2},
Mongo Insert,, Time: 2023-05-01 21:14:53.936803 ,  EntranceRoom: 3, ExitRoom: 2, isValid: true
Queue Insert, pisid_mazetemp, {Hora: "2023-05-01 21:14:54.475363", Leitura: 14, Sensor: 1},
Mongo Insert,, Time: 2023-05-01 21:14:54.475363 ,  Temp: 14.0,Sensor: 1, isValid: true , Mean: 13.229999999999999, Z-Score: 0.7608859102526816, 
Queue Insert, pisid_mazetemp, {Hora: "2023-05-01 21:14:54.475363", Leitura: 11.599999999999994, Sensor: 2},
Queue Insert, pisid_mazetemp, {Hora: "2023-05-01 21:14:55.479677", Leitura: 14, Sensor: 1},
Queue Insert, pisid_mazetemp, {Hora: "2023-05-01 21:14:55.479677", Leitura: 11.599999999999994, Sensor: 2},
Queue Insert, pisid_mazetemp, {Hora: "2023-05-01 21:14:56.482994", Leitura: 14, Sensor: 1},
Queue Insert, pisid_mazetemp, {Hora: "2023-05-01 21:14:56.482994", Leitura: 11.299999999999994, Sensor: 2},
Mongo Insert,, Time: 2023-05-01 21:14:56.482994 ,  Temp: 11.299999999999994,Sensor: 2, isValid: true , Mean: 13.125714285714285, Z-Score: 1.695825473482209, 
Queue Insert, pisid_mazemov, {Hora:"2023-05-01 21:14:56.936780", SalaEntrada:1, SalaSaida:2},
Mongo Insert,, Time: 2023-05-01 21:14:56.93678 ,  EntranceRoom: 1, ExitRoom: 2, isValid: true
Queue Insert, pisid_mazetemp, {Hora: "2023-05-01 21:14:57.486310", Leitura: 14, Sensor: 1},
Queue Insert, pisid_mazetemp, {Hora: "2023-05-01 21:14:57.486310", Leitura: 3@ , Sensor: 2},
Mongo Insert,, Time: 2023-05-01 21:14:57.48631 ,  Temp: -273.15,Sensor: 2, isValid: false , Mean: 13.149999999999999, Z-Score: 0.0,  , Error: Reading value wasn't parsable. 
Queue Insert, pisid_mazemov, {Hora:"2023-05-01 21:14:57.932119", SalaEntrada:2, SalaSaida:5},
Mongo Insert,, Time: 2023-05-01 21:14:57.932119 ,  EntranceRoom: 2, ExitRoom: 5, isValid: true
Queue Insert, pisid_mazetemp, {Hora: "2023-05-01 21:14:58.489627", Leitura: 13.7, Sensor: 1},
Mongo Insert,, Time: 2023-05-01 21:14:58.489627 ,  Temp: 13.7,Sensor: 1, isValid: true , Mean: 13.164864864864864, Z-Score: 0.5046555939204573, 
Queue Insert, pisid_mazetemp, {Hora: '2010-02-30 16:17:45',  Leitura: 10.699999999999992, Sensor: 2},
Alert Insert, ,Time: 1899-12-31 00:00:00.0 ,  Temp: 10.699999999999992,Sensor: 2, isValid: false , Mean: 13.1, Z-Score: 2.1461734799546406,  , Error: This timestamp wasn't parsable.  ,AlertType:Medium ,Message:Sensor with 5 malfunctions! 
Mongo Insert,, Time: 1899-12-31 00:00:00.0 ,  Temp: 10.699999999999992,Sensor: 2, isValid: false , Mean: 13.1, Z-Score: 2.1461734799546406,  , Error: This timestamp wasn't parsable. 
Queue Insert, pisid_mazetemp, {Hora: "2023-05-01 21:14:59.491947", Leitura: 13.399999999999999, Sensor: 1},
Mongo Insert,, Time: 2023-05-01 21:14:59.491947 ,  Temp: 13.399999999999999,Sensor: 1, isValid: true , Mean: 13.107692307692307, Z-Score: 0.2645659703935033, 
Queue Insert, pisid_mazetemp, {Hora: "2023-05-01 21:14:59.491947", Leitura: 10.399999999999991, Sensor: 2},
